DiscourseTopicId,DrupalTopicAlias
24,forums/whats-firms/jones-haircuts
25,forums/legal-issues/dissidents-contest-nasd-board-election
26,forums/general/professional-alliance-program-ml
27,forums/general/additional-money-firms
28,forums/general/dirty-harry-broker
29,forums/general/benefit-using-portfolio-manager
30,forums/rookies-trainees/sb-interview
31,forums/general/urgent-nasd-election
32,forums/general/next-financial-0
33,forums/whats-firms/make-sure-clients-understand
34,forums/whats-firms/nepotism-alive-jones
35,forums/general/ive-never-heard
36,forums/general/shame-nasd-double-standards
37,forums/rookies-trainees/question-potential-edj-newbie
38,forums/technology/what-laptop-brand-do-you-use
39,forums/rookies-trainees/series-55-exam
40,forums/general/cfa-books
41,forums/rookies-trainees/how-big-too-big
42,forums/whats-firms/if-you-hate-jones
43,forums/general/first-trust-portfolios
44,forums/general/bankfcs-top-ten-list
45,forums/rookies-trainees/sponser-independent-new-guy
46,forums/whats-firms/ej-3-canada-work
47,forums/whats-firms/leaving-jones-will-they-come-after-me
48,forums/whats-firms/bofa-comp-change
49,forums/whats-firms/bigpayday-remember-artilcle
50,forums/general/banks
51,forums/whats-firms/why-doesnt-jones-issue-more-lp-units
52,forums/general/forex
53,forums/rookies-trainees/has-anyone-worked-axa
54,forums/general/christmashanukkah-merger
55,forums/rookies-trainees/anyone-worked-ramond-james
56,forums/whats-firms/mer-taking-out-jef-rumors
57,forums/general/me
58,forums/rookies-trainees/payout-big-firms
59,forums/whats-firms/nasd-05-50
60,forums/general/what-are-you-doing
61,forums/general/hartford-va
62,forums/whats-firms/worm-about-turn-i-can-feel-it
63,forums/rookies-trainees/investing-mutual-funds-fee-based
64,forums/general/perfect-portfolio
65,forums/whats-firms/nasd-fines-3-firms-fund-sales
66,forums/general/doa-eias
67,forums/rookies-trainees/age-or-ej-or-ml
68,forums/general/client-holiday-gifts
69,forums/rookies-trainees/sb-question
70,forums/rookies-trainees/life-insurance
71,forums/general/white-elephant-gift
72,forums/rookies-trainees/first-investors-0
73,forums/whats-firms/ag-edwards-preferred-mutual-funds
74,forums/rookies-trainees/happy-holidays
75,forums/legal-issues/new-nasd-cases-december
76,forums/rookies-trainees/help-please-0
77,forums/legal-issues/rule-1031-parking-fairly-applied
78,forums/legal-issues/thank-you-mr-sawtelle
79,forums/rookies-trainees/nightmare-new-2-buisness
80,forums/rookies-trainees/new-hire-w-edward-jones
81,forums/general/donald-trump-apprentice
82,forums/whats-firms/schwabblogcom
83,forums/whats-firms/shes-right-schwabblogcom-thats-great
84,forums/whats-firms/mybrokragefirmcom
85,forums/rookies-trainees/bankruptcy-and-sa-position
86,forums/whats-firms/yet-another-reason-detest-edward-jones
87,forums/rookies-trainees/passing-ejs-first-st-louis-interview
88,forums/general/daily-activity
89,forums/rookies-trainees/no-vacation-ml-poa
90,forums/whats-firms/what-happened-ef-hutton
91,forums/rookies-trainees/merrill-lynch-interview-update
92,forums/whats-firms/chase-investments-bank-one-bank-broker
93,forums/whats-firms/ag-edwards
94,forums/rookies-trainees/ejir-interview-coming
95,forums/general/youcanhatemenow
96,forums/general/whats-your-specialty
97,forums/whats-firms/what-happen-all-jones-defenders
98,forums/general/strategy-alternatives
99,forums/general/deleted-post
100,forums/rookies-trainees/boiler-rooms
101,forums/rookies-trainees/wholesaler-1
102,forums/rookies-trainees/thinking-about-going-indy
103,forums/legal-issues/new-nyse-analyzed-rrbdlaw
104,forums/whats-firms/instant-message
105,forums/whats-firms/frustrations
106,forums/whats-firms/revenue-sharing-review-ej
107,forums/rookies-trainees/how-much-start-capital
108,forums/general/nik-naks
109,forums/whats-firms/csmelnix-nails-edward-jones
110,forums/general/will-apple-slow-down
111,forums/rookies-trainees/anyone-dc
112,forums/general/i-do-not-hate-jones
113,forums/general/metals
114,forums/rookies-trainees/indy-hospital
115,forums/rookies-trainees/str8-commission-25-weeks-need-help
116,forums/prospecting-marketing-and-selling/idiots-do-not-call
117,forums/general/online-savings
118,forums/general/20-ytd-today
119,forums/general/goooooooggggggllleee-or-goggle
120,forums/general/third-party-overlay-sep-accts
121,forums/prospecting-marketing-and-selling/recommendation-lead-list
122,forums/prospecting-marketing-and-selling/ebsco-group
123,forums/general/edj-lirp-plan
124,forums/rookies-trainees/merrill-lynch-interview
125,forums/general/bank-america-recruiting
126,forums/general/nyse-bars-rr-vicodin-use
127,forums/legal-issues/rule-2210-question
128,forums/whats-firms/lm-sb
129,forums/rookies-trainees/bank-jargon
130,forums/rookies-trainees/100k-salary-job-or-indy-pfa-under-bull
131,forums/whats-firms/412i-defined-benefit-plans
132,forums/legal-issues/urgent-action-needed-against-proposed-tax
133,forums/rookies-trainees/jones-just-barely-hanging
134,forums/general/did-you-notice
135,forums/rookies-trainees/cold-calling-7
136,forums/general/valuable-playersnot
137,forums/rookies-trainees/how-much
138,forums/rookies-trainees/thanks-all-jones-haters
139,forums/rookies-trainees/i-know-i-screwed
140,forums/general/im-sorry-joseph
141,forums/whats-firms/ameriprise-bomb45-mil
142,forums/general/what-hell-wrong-ge
143,forums/whats-firms/wells-fargo-private-client-services
144,forums/whats-firms/has-anyone-seen
145,forums/rookies-trainees/back-production
146,forums/general/help-answer-series-7-question
147,forums/whats-firms/what-was-your-eye-opener-event-jones
148,forums/rookies-trainees/ej-vs-sb
149,forums/rookies-trainees/starting-out-0
150,forums/whats-firms/waddell-reed-3
151,forums/general/ag-edwards-map
152,forums/general/little-contest-deadline-december-8th
153,forums/rookies-trainees/10m-aumwhat-can-i-expect-next
154,forums/rookies-trainees/any-one-heard-nsm-or-gunnallen
155,forums/general/december
156,forums/whats-firms/hr-block-0
157,forums/general/tidbit
158,forums/rookies-trainees/senior-financial-advisor-mentor
159,forums/general/series-24-study-materials
160,forums/legal-issues/collecting-unemployment-after-being-fired
161,forums/whats-firms/lance-legs-it-still-about-capital
162,forums/general/dell-vs-hpq
163,forums/general/dorsey-wright
164,forums/rookies-trainees/time-company-sponsorship-test
165,forums/general/idiots-and-more-idiots
166,forums/whats-firms/why-leave-edward-jones
167,forums/general/amazing-radio-ads
168,forums/whats-firms/edward-jones-1-again
169,forums/general/re-ben-bernankes-only-stock-position
170,forums/general/business-tax-structure-question
171,forums/legal-issues/new-nasd-cases-one-ages
172,forums/general/thanksgiving-0
173,forums/whats-firms/cfp-reimbursement-smith-barney
174,forums/general/peter-druckers-passing-la-times-article
175,forums/whats-firms/riddle-me
176,forums/whats-firms/uconn-will-dominate-college-basketball
177,forums/whats-firms/commissions
178,forums/whats-firms/it-trial-time-jones
179,forums/rookies-trainees/transition-advice
180,forums/whats-firms/kool-aid-0
181,forums/rookies-trainees/need-advice-2
182,forums/whats-firms/independent-trend
183,forums/whats-firms/changes-smith-barney-grid
184,forums/whats-firms/fee-based-jonesbooyah
185,forums/legal-issues/complaint-nasd
186,forums/general/gmac-prospect
187,forums/general/gm-another-bad-development
188,forums/whats-firms/when-does-broker-survey-come-out
189,forums/whats-firms/smith-barney-0
190,forums/general/ml-revenue-sharing-cpas-attorneys
191,forums/prospecting-marketing-and-selling/lead-companies
192,forums/whats-firms/edward-jones-new-top-exec-not-stran
193,forums/general/numbers
194,forums/general/california-vs-jones-lawsuit
195,forums/legal-issues/letter-jones-lawyers-re-california
196,forums/general/nyse-suspends-kid-online-postings
197,forums/rookies-trainees/sw-bach
198,forums/general/ria-vs-bd-0
199,forums/rookies-trainees/commissions
200,forums/general/health-insurance-our-clients
201,forums/rookies-trainees/ib
202,forums/rookies-trainees/market-research
203,forums/rookies-trainees/what-material-study-7
204,forums/whats-firms/repayment-jones-training-costs
205,forums/general/equity-index-annuities
206,forums/rookies-trainees/smith-barney-vs-merrill
207,forums/rookies-trainees/funniest-name-you-have-ever-cold-called
